ACADEMIC_PERIOD,MAJOR_CODE,SUBJECT,COURSE_NUMBER,SEQ_NUMBER,CRN,COURSE_TITLE,CREDIT_HRS,COURSE_CREDIT_RANGE,CREDIT_HR_SESSION,MEET_DAYS,BEGIN_TIME,END_TIME,CLASS_TIME,BLDG_CODE,ROOM_CODE,INSTRUCTOR1,INSTRUCTOR2,INSTRUCTOR3,COURSE_NOTES,COURSE_ATTRIBUTES,MAX_ENROLL,CURR_ENROLL,SEATS_REMAINING
201601,AFR,AFR,101,0,15780,Intro to Africana Studies,,1,1,  T  R  ,815,930,0815 - 0930am,CHAM,1006,Hucks T,,,,CULT LBRQ,30,0,30
201601,AFR,AFR,120,0,16148,Afro-Latin America,,1,1,  T  R  ,1215,1330,1215 - 0130pm,CHAM,2084,Benson D,,,XLST,CULT LBRQ,15,0,15
201601,AFR,AFR,230,0,16139,History of the Caribbean,,1,1,  T  R  ,1505,1620,0305 - 0420pm,CHAM,2084,Benson D,,,XLST,,15,0,15
201601,AFR,AFR,245,0,16154,Afr Relig & Healng in Am South,,1,1,  T  R  ,940,1055,0940 - 1055am,CHAM,B027,Hucks T,,,,CULT PRRQ,15,0,15
201601,ANT,ANT,101,0,12408,Intro Cultural Anthropology,,1,1,  T  R  ,940,1055,0940 - 1055am,CHAM,2187,Ruhlen R,,,,SSRQ,30,0,30
201601,ARC,ANT,108,0,14362,Introduction to Archaeology,,1,1, M  W  F ,1130,1220,1130 - 1220pm,CHAM,1027,Ringle W,,,,SSRQ,30,0,30
201601,ANT,ANT,108,0,14362,Introduction to Archaeology,,1,1, M  W  F ,1130,1220,1130 - 1220pm,CHAM,1027,Ringle W,,,,SSRQ,30,0,30
201601,ANT,ANT,220,0,14712,"Religion, Society & Culture",,1,1, M  W  F ,830,920,0830 - 0920am,CHAM,1027,Samson C,,,,CULT SSRQ,30,0,30
201601,REL,ANT,220,0,14712,"Religion, Society & Culture",,1,1, M  W  F ,830,920,0830 - 0920am,CHAM,1027,Samson C,,,,CULT SSRQ,30,0,30
201601,ENV,ANT,261,0,15698,"Science, Policy, and Society",,1,1, M  W  F ,1030,1120,1030 - 1120am,CHAM,1027,Lozada E,,,,CULT SSRQ,30,0,30
201601,ANT,ANT,261,0,15698,"Science, Policy, and Society",,1,1, M  W  F ,1030,1120,1030 - 1120am,CHAM,1027,Lozada E,,,,CULT SSRQ,30,0,30
201601,DIG,ANT,261,0,15698,"Science, Policy, and Society",,1,1, M  W  F ,1030,1120,1030 - 1120am,CHAM,1027,Lozada E,,,,CULT SSRQ,30,0,30
201601,ANT,ANT,290,0,15795,Ethnographic East Asia,,1,1,  T  R  ,1215,1330,1215 - 0130pm,CHAM,1006,Ruhlen R,,,,CULT SSRQ,30,0,30
201601,ANT,ANT,323,0,15254,Human Rights in Latin America,,1,1,  T  R  ,1340,1455,0140 - 0255pm,CHAM,1046,Samson C,,,,CULT SSRQ,15,0,15
201601,AFR,ANT,323,0,15254,Human Rights in Latin America,,1,1,  T  R  ,1340,1455,0140 - 0255pm,CHAM,1046,Samson C,,,,CULT SSRQ,15,0,15
201601,LAS,ANT,323,0,15254,Human Rights in Latin America,,1,1,  T  R  ,1340,1455,0140 - 0255pm,CHAM,1046,Samson C,,,,CULT SSRQ,15,0,15
201601,ANT,ANT,341,0,16086,Globalization,,1,1,  T    ,1340,1620,0140 - 0420pm,CHAM,3234,Lozada E,,,,CULT SSRQ,15,0,15
201601,LIT,ANT,341,0,16086,Globalization,,1,1,  T    ,1340,1620,0140 - 0420pm,CHAM,3234,Lozada E,,,,CULT SSRQ,15,0,15
201601,LAS,ANT,341,0,16086,Globalization,,1,1,  T    ,1340,1620,0140 - 0420pm,CHAM,3234,Lozada E,,,,CULT SSRQ,15,0,15
201601,ANT,ANT,356,0,14863,"Art, Myth & Hist of Aztecs",,1,1,    R  ,1340,1620,0140 - 0420pm,CHAM,3234,Ringle W,,,,HTRQ,15,0,15
201601,LAS,ANT,356,0,14863,"Art, Myth & Hist of Aztecs",,1,1,    R  ,1340,1620,0140 - 0420pm,CHAM,3234,Ringle W,,,,HTRQ,15,0,15
201601,ANT,ANT,370,0,10016,Theory in Anthropology,,1,1,   W   ,1330,1620,0130 - 0420pm,CHAM,3234,Ruhlen R,,,PRQ,NONE,15,0,15
201601,ANT,ANT,395,0,13293,Independent Study,,1,1,      ,,,TBA ,,,Staff S,,,PRM,,5,0,5
201601,ANT,ANT,490,0,13761,Sr Colloquium in Anthropology,,1,1, M     ,1330,1620,0130 - 0420pm,CHAM,1046,Samson C,,,PRQ,,15,0,15
201601,ANT,ANT,495,0,13197,Independent Study,,1,1,      ,,,TBA ,,,Staff S,,,PRM,,5,0,5
201601,ANT,ANT,498,0,15859,Honors Research,,1,1,      ,,,TBA ,,,Staff S,,,PRM,,5,0,5
201601,ARB,ARB,101,A,14791,Elementary Arabic I,,1,1, M  W  F ,1030,1120,1030 - 1120am,CHAM,3234,Joubin R,,,,,20,0,20
201601,ARB,ARB,101,B,15403,Elementary Arabic I,,1,1, M  W  F ,1130,1220,1130 - 1220pm,CHAM,3209,Botros B,,,,,20,0,20
201601,ARB,ARB,201,0,14806,Intermediate Arabic I,,1,1, M  W  F ,930,1020,0930 - 1020am,CHAM,B022,Botros B,,,,FRLG,20,0,20
201601,ARB,ARB,240,0,15922,Accelerated Persian,,1,1, M  W  F ,830,920,0830 - 0920am,CHAM,3234,Joubin R,,,,FRLG,15,0,15
201601,ARB,ARB,327,0,16117,Syrian Television Drama,,1,1, M  W  F ,930,1020,0930 - 1020am,CHAM,3234,Joubin R,,,,CULT VPRQ,15,0,15
201601,ART,ART,100,0,10042,Survey of Western Art,,1,1,  T  R  ,1505,1620,0305 - 0420pm,VAC,117,Ligo L,,,,VPRQ,30,0,30
201601,ART,ART,124,0,14969,American Art,,1,1,  T  R  ,815,930,0815 - 0930am,VAC,117,Smith C,,,,VPRQ,30,0,30
201601,ART,ART,200,0,14349,Greek Art and Architecture,,1,1, M  W  F ,1230,1320,1230 - 0120pm,VAC,117,Toumazou M,,,XLST,VPRQ,15,0,15
201601,ART,ART,201,A,10047,Basic Drawing,,1,1,  T  R  ,940,1055,0940 - 1055am,VAC,203,Savage C,,,,VPRQ,15,0,15
201601,ART,ART,201,B,12828,Basic Drawing,,1,1,  T  R  ,940,1055,0940 - 1055am,VAC,212,St Clair K,,,,VPRQ,15,0,15
201601,ART,ART,203,A,10049,Basic Painting,,1,1,  T    ,1340,1620,0140 - 0420pm,VAC,213,St Clair K,,,,VPRQ,15,0,15
201601,ART,ART,203,B,10050,Basic Painting,,1,1,    R  ,1340,1620,0140 - 0420pm,VAC,213,St Clair K,,,,VPRQ,15,0,15
201601,ART,ART,209,A,13087,Basic Sculpture,,1,1,  T    ,1340,1620,0140 - 0420pm,VAC,106,Savage C,,,,VPRQ,11,0,11
201601,ART,ART,209,B,13088,Basic Sculpture,,1,1,    R  ,1340,1620,0140 - 0420pm,VAC,106,Savage C,,,,VPRQ,11,0,11
201601,ART,ART,211,A,15378,Intro to Digital Art,,1,1,  T    ,1340,1620,0140 - 0420pm,BELK,CLASSROOM,Dietrick J,,,,VPRQ,12,0,12
201601,DIG,ART,211,A,15378,Intro to Digital Art,,1,1,  T    ,1340,1620,0140 - 0420pm,BELK,CLASSROOM,Dietrick J,,,,VPRQ,12,0,12
201601,ART,ART,211,B,15379,Intro to Digital Art,,1,1,    R  ,1340,1620,0140 - 0420pm,BELK,CLASSROOM,Dietrick J,,,,VPRQ,12,0,12
201601,DIG,ART,211,B,15379,Intro to Digital Art,,1,1,    R  ,1340,1620,0140 - 0420pm,BELK,CLASSROOM,Dietrick J,,,,VPRQ,12,0,12
201601,ART,ART,215,0,15703,Introduction to Print Media,,1,1,  T  R  ,1215,1330,1215 - 0130pm,VAC,105,Starr T,,,,VPRQ,12,0,12
201601,ART,ART,217,0,15705,Works on Paper,,1,1,  T  R  ,940,1055,0940 - 1055am,VAC,104,Starr T,,,,VPRQ,12,0,12
201601,ART,ART,218,0,14940,Modern Painting and Sculpture,,1,1,  T  R  ,940,1055,0940 - 1055am,VAC,108,Ligo L,,,,VPRQ,30,0,30
201601,ART,ART,219,0,15831,Contemporary Art,,1,1,  T  R  ,1215,1330,1215 - 0130pm,VAC,117,Smith C,,,,VPRQ,30,0,30
201601,GSS,ART,222,0,14526,Painted Women-Women Painting,,1,1,  T  R  ,940,1055,0940 - 1055am,VAC,117,Serebrennikov N,,,,VPRQ,30,0,30
201601,ART,ART,222,0,14526,Painted Women-Women Painting,,1,1,  T  R  ,940,1055,0940 - 1055am,VAC,117,Serebrennikov N,,,,VPRQ,30,0,30
201601,ART,ART,330,0,14931,Sem: French Impressionism,,1,1,    R  ,1340,1620,0140 - 0420pm,VAC,108,Smith C,,,,,15,0,15
201601,ART,ART,390,0,12833,Independent Study-Art History,,1,1,      ,,,TBA ,,,Staff S,,,PRM,,1,0,1
201601,ART,ART,391,0,10067,Independent Study-Studio Art,,1,1,      ,,,TBA ,,,Staff S,,,PRM,,1,0,1
201601,ART,ART,400,0,10083,Perspectives in Art History,,1,1,   W   ,1330,1620,0130 - 0420pm,VAC,108,Serebrennikov N,,,PRM,,9,0,9
201601,ART,ART,401,0,10084,Senior Exhibition/Examination,,1,1,   W   ,1330,1620,0130 - 0420pm,VAC,223,Starr T,,,PRM,,5,0,5
201601,ART,ART,496,0,14085,Senior Honors Thesis,,1,1,      ,,,TBA ,,,Staff S,,,PRM,,5,0,5
201601,BIO,BIO,108,A,15228,Human Biology,1,0 TO 1,0,   W   ,1330,1620,0130 - 0420pm,WATSON,140,McNally L,,,R,NSRQ,16,0,16
201601,BIO,BIO,108,A,15228,Human Biology,1,0 TO 1,1,  T  R  ,940,1055,0940 - 1055am,WALL,210,McNally L,,,R,NSRQ,16,0,16
201601,BIO,BIO,108,B,15229,Human Biology,1,0 TO 1,0,    R  ,1340,1620,0140 - 0420pm,WATSON,140,McNally L,,,R,NSRQ,16,0,16
201601,BIO,BIO,108,B,15229,Human Biology,1,0 TO 1,1,  T  R  ,940,1055,0940 - 1055am,WALL,210,McNally L,,,R,NSRQ,16,0,16
201601,BIO,BIO,111,A,10008,"Molecules, Genes & Cells",1,0 TO 1,0, M     ,1330,1620,0130 - 0420pm,WATSON,147,Hales K,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,A,10008,"Molecules, Genes & Cells",1,0 TO 1,1, M  W  F ,930,1020,0930 - 1020am,WALL,106,Hales K,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,B,10009,"Molecules, Genes & Cells",1,0 TO 1,0,  T    ,815,1055,0815 - 1055am,WATSON,147,Hales K,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,B,10009,"Molecules, Genes & Cells",1,0 TO 1,1, M  W  F ,930,1020,0930 - 1020am,WALL,106,Hales K,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,C,10091,"Molecules, Genes & Cells",1,0 TO 1,0,  T    ,1340,1620,0140 - 0420pm,WATSON,147,Wessner D,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,C,10091,"Molecules, Genes & Cells",1,0 TO 1,1, M  W  F ,1030,1120,1030 - 1120am,WALL,210,Wessner D,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,D,10102,"Molecules, Genes & Cells",1,0 TO 1,0,   W   ,1330,1620,0130 - 0420pm,WATSON,147,Wessner D,,,B1,NSRQ,16,0,16
201601,BIO,BIO,111,D,10102,"Molecules, Genes & Cells",1,0 TO 1,1, M  W  F ,1030,1120,1030 - 1120am,WALL,210,Wessner D,,,B1,NSRQ,16,0,16
201601,BIO,BIO,112,A,10103,"Organisms,Evolution,Ecosystems",1,0 TO 1,0, M     ,1330,1620,0130 - 0420pm,WATSON,119,Barsoum M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,A,10103,"Organisms,Evolution,Ecosystems",1,0 TO 1,1,  T  R  ,1340,1455,0140 - 0255pm,WALL,243,Barsoum M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,B,10104,"Organisms,Evolution,Ecosystems",1,0 TO 1,0,  T    ,815,1055,0815 - 1055am,WATSON,119,Barsoum M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,B,10104,"Organisms,Evolution,Ecosystems",1,0 TO 1,1,  T  R  ,1340,1455,0140 - 0255pm,WALL,243,Barsoum M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,C,14138,"Organisms,Evolution,Ecosystems",1,0 TO 1,0,  T    ,1340,1620,0140 - 0420pm,WATSON,119,Stanback M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,C,14138,"Organisms,Evolution,Ecosystems",1,0 TO 1,1,  T  R  ,815,930,0815 - 0930am,DANA,146,Stanback M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,D,14139,"Organisms,Evolution,Ecosystems",1,0 TO 1,0,   W   ,1330,1620,0130 - 0420pm,WATSON,119,Stanback M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,112,D,14139,"Organisms,Evolution,Ecosystems",1,0 TO 1,1,  T  R  ,815,930,0815 - 0930am,DANA,146,Stanback M,,,B2,NSRQ,16,0,16
201601,BIO,BIO,113,A,15381,Integrated Concepts in Bio I,1,0 TO 1,0,    R  ,815,1055,0815 - 1055am,WATSON,147,Campbell A,,,B1,NSRQ,16,0,16
201601,BIO,BIO,113,A,15381,Integrated Concepts in Bio I,1,0 TO 1,1, M  W  F ,830,920,0830 - 0920am,LIB,STUDIOD,Campbell A,,,B1,NSRQ,16,0,16
201601,BIO,BIO,113,B,15382,Integrated Concepts in Bio I,1,0 TO 1,0,    R  ,1340,1620,0140 - 0420pm,WATSON,147,Campbell A,,,B1,NSRQ,16,0,16
201601,BIO,BIO,113,B,15382,Integrated Concepts in Bio I,1,0 TO 1,1, M  W  F ,830,920,0830 - 0920am,LIB,STUDIOD,Campbell A,,,B1,NSRQ,16,0,16
201601,BIO,BIO,114,A,15710,Integr Concepts in Biology II,1,0 TO 1,0,    R  ,815,1055,0815 - 1055am,WATSON,119,Smith K,,,B2,NSRQ,16,0,16
201601,BIO,BIO,114,A,15710,Integr Concepts in Biology II,1,0 TO 1,1, M  W  F ,1330,1420,0130 - 0220pm,WALL,243,Smith K,,,B2,NSRQ,16,0,16
201601,BIO,BIO,114,B,15711,Integr Concepts in Biology II,1,0 TO 1,0,    R  ,1340,1620,0140 - 0420pm,WATSON,119,Smith K,,,B2,NSRQ,16,0,16
201601,BIO,BIO,114,B,15711,Integr Concepts in Biology II,1,0 TO 1,1, M  W  F ,1330,1420,0130 - 0220pm,WALL,243,Smith K,,,B2,NSRQ,16,0,16
201601,BIO,BIO,201,A,15306,Genetics,1,0 TO 1,0,  T    ,1340,1620,0140 - 0420pm,DANA,220,El Bejjani R,,,PRQ,,16,0,16
201601,BIO,BIO,201,A,15306,Genetics,1,0 TO 1,1, M  W  F ,1230,1320,1230 - 0120pm,WALL,106,El Bejjani R,,,PRQ,,16,0,16
201601,BIO,BIO,201,B,15307,Genetics,1,0 TO 1,1, M  W  F ,1230,1320,1230 - 0120pm,WALL,106,El Bejjani R,,,PRQ,,16,0,16
201601,BIO,BIO,201,B,15307,Genetics,1,0 TO 1,0,   W   ,1330,1620,0130 - 0420pm,DANA,220,El Bejjani R,,,PRQ,,16,0,16
201601,CSC,BIO,209,0,15332,REGISTER FOR CRN 15331,,1,1,  T  R  ,1215,1330,1215 - 0130pm,LIB,B110,Heyer L,,,"R, XLST",MQRQ,0,0,0
201601,DIG,BIO,209,0,15332,REGISTER FOR CRN 15331,,1,1,  T  R  ,1215,1330,1215 - 0130pm,LIB,B110,Heyer L,,,"R, XLST",MQRQ,0,0,0
201601,BIO,BIO,209,0,15332,REGISTER FOR CRN 15331,,1,1,  T  R  ,1215,1330,1215 - 0130pm,LIB,B110,Heyer L,,,"R, XLST",MQRQ,0,0,0
201601,MHU,BIO,209,0,15332,REGISTER FOR CRN 15331,,1,1,  T  R  ,1215,1330,1215 - 0130pm,LIB,B110,Heyer L,,,"R, XLST",MQRQ,0,0,0
201601,BIO,BIO,233,0,16063,Behavioral Ecology,,1,1, M  W  F ,930,1020,0930 - 1020am,CHAM,3068,Stanback M,,,PRQ,,32,0,32
201601,GSS,BIO,233,0,16063,Behavioral Ecology,,1,1, M  W  F ,930,1020,0930 - 1020am,CHAM,3068,Stanback M,,,PRQ,,32,0,32
201601,ENV,BIO,240,A,15545,Biostats for Life Scientists,,1,1,  T  R  ,1215,1330,1215 - 0130pm,WALL,106,Peroni P,,,PRQ,MQRQ,16,0,16
201601,BIO,BIO,240,A,15545,Biostats for Life Scientists,,1,1,  T  R  ,1215,1330,1215 - 0130pm,WALL,106,Peroni P,,,PRQ,MQRQ,16,0,16
201601,BIO,BIO,240,B,15714,Biostats for Life Scientists,,1,1,  T  R  ,1340,1455,0140 - 0255pm,WALL,106,Peroni P,,,PRQ,MQRQ,16,0,16
201601,ENV,BIO,240,B,15714,Biostats for Life Scientists,,1,1,  T  R  ,1340,1455,0140 - 0255pm,WALL,106,Peroni P,,,PRQ,MQRQ,16,0,16
201601,ENV,BIO,257,0,15886,Tree ID & Ecology: Dendrology,,1,1,     F ,1330,1620,0130 - 0420pm,WATSON,243,Peroni P,,,PRQ,,8,0,8
201601,BIO,BIO,257,0,15886,Tree ID & Ecology: Dendrology,,1,1,     F ,1330,1620,0130 - 0420pm,WATSON,243,Peroni P,,,PRQ,,8,0,8
